"Statistic Label","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2014","Co. Wexford","Both sexes","Euro","558.81"
"Mean Weekly Earnings","2014","Co. Wexford","Male","Euro","622.93"
"Mean Weekly Earnings","2014","Co. Wexford","Female","Euro","498.3"
"Mean Weekly Earnings","2014","Ireland","Both sexes","Euro","662.76"
"Mean Weekly Earnings","2014","Ireland","Male","Euro","754.71"
"Mean Weekly Earnings","2014","Ireland","Female","Euro","573.47"
"Mean Weekly Earnings","2015","Co. Clare","Both sexes","Euro","646.44"
"Mean Weekly Earnings","2015","Co. Clare","Male","Euro","741.98"
"Mean Weekly Earnings","2015","Co. Clare","Female","Euro","559.19"
"Mean Weekly Earnings","2015","Co. Cork","Both sexes","Euro","671.29"
"Mean Weekly Earnings","2015","Co. Cork","Male","Euro","778"
"Mean Weekly Earnings","2015","Co. Cork","Female","Euro","565.48"
"Mean Weekly Earnings","2015","Co. Cavan","Both sexes","Euro","586.02"
"Mean Weekly Earnings","2015","Co. Cavan","Male","Euro","648.07"
"Mean Weekly Earnings","2015","Co. Cavan","Female","Euro","525.39"
"Mean Weekly Earnings","2015","Co. Carlow","Both sexes","Euro","583.27"
"Mean Weekly Earnings","2015","Co. Carlow","Male","Euro","644.63"
"Mean Weekly Earnings","2015","Co. Carlow","Female","Euro","520.24"
"Mean Weekly Earnings","2015","Co. Donegal","Both sexes","Euro","516.92"
"Mean Weekly Earnings","2015","Co. Donegal","Male","Euro","556.65"
"Mean Weekly Earnings","2015","Co. Donegal","Female","Euro","480.59"
"Mean Weekly Earnings","2015","Co. Dublin","Both sexes","Euro","757.64"
"Mean Weekly Earnings","2015","Co. Dublin","Male","Euro","863.76"
"Mean Weekly Earnings","2015","Co. Dublin","Female","Euro","648.9"
"Mean Weekly Earnings","2015","Co. Galway","Both sexes","Euro","639.41"
"Mean Weekly Earnings","2015","Co. Galway","Male","Euro","709.88"
"Mean Weekly Earnings","2015","Co. Galway","Female","Euro","574.9"
"Mean Weekly Earnings","2015","Co. Kildare","Both sexes","Euro","715.98"
"Mean Weekly Earnings","2015","Co. Kildare","Male","Euro","826.48"
"Mean Weekly Earnings","2015","Co. Kildare","Female","Euro","600.27"
"Mean Weekly Earnings","2015","Co. Kilkenny","Both sexes","Euro","625.41"
"Mean Weekly Earnings","2015","Co. Kilkenny","Male","Euro","698.42"
"Mean Weekly Earnings","2015","Co. Kilkenny","Female","Euro","560.16"
"Mean Weekly Earnings","2015","Co. Kerry","Both sexes","Euro","568.2"
"Mean Weekly Earnings","2015","Co. Kerry","Male","Euro","638.7"
"Mean Weekly Earnings","2015","Co. Kerry","Female","Euro","504.95"
"Mean Weekly Earnings","2015","Co. Longford","Both sexes","Euro","580.45"
"Mean Weekly Earnings","2015","Co. Longford","Male","Euro","628.87"
"Mean Weekly Earnings","2015","Co. Longford","Female","Euro","533.03"
"Mean Weekly Earnings","2015","Co. Louth","Both sexes","Euro","616.39"
"Mean Weekly Earnings","2015","Co. Louth","Male","Euro","691.6"
"Mean Weekly Earnings","2015","Co. Louth","Female","Euro","540.01"
"Mean Weekly Earnings","2015","Co. Limerick","Both sexes","Euro","648.33"
"Mean Weekly Earnings","2015","Co. Limerick","Male","Euro","736.11"
"Mean Weekly Earnings","2015","Co. Limerick","Female","Euro","558.5"
"Mean Weekly Earnings","2015","Co. Leitrim","Both sexes","Euro","577.75"
"Mean Weekly Earnings","2015","Co. Leitrim","Male","Euro","619.16"
"Mean Weekly Earnings","2015","Co. Leitrim","Female","Euro","542.09"
"Mean Weekly Earnings","2015","Co. Laois","Both sexes","Euro","629.33"
"Mean Weekly Earnings","2015","Co. Laois","Male","Euro","702.6"
"Mean Weekly Earnings","2015","Co. Laois","Female","Euro","558.3"
"Mean Weekly Earnings","2015","Co. Meath","Both sexes","Euro","696.29"
"Mean Weekly Earnings","2015","Co. Meath","Male","Euro","807.2"
"Mean Weekly Earnings","2015","Co. Meath","Female","Euro","585.29"
